date,open,high,low,close,adj_close,volume,symbol,currency,ret,log_ret
01-01-2024,3790,3832,3773,3811.1,3613.89,825907,TCS,INR,,
02-01-2024,3811.1,3811.1,3767.25,3783.2,3587.43,1344068,TCS,INR,-0.007320721,-0.007347649
03-01-2024,3767,3771.85,3687.05,3691.75,3500.71,1803075,TCS,INR,-0.024172658,-0.024469612
04-01-2024,3701.75,3719,3651,3666.8,3477.05,3598144,TCS,INR,-0.006758312,-0.006781253
05-01-2024,3675,3747.75,3674.85,3737.9,3544.47,1963127,TCS,INR,0.019390203992581956,0.019204609296096464
08-01-2024,3737.9,3739.75,3672.4,3678.3,3487.96,1067805,TCS,INR,-0.015944782,-0.016073267
09-01-2024,3709.95,3752.35,3682.75,3689.9,3498.96,1370944,TCS,INR,0.0031536307533370778,0.003148668489901141
10-01-2024,3690,3729.25,3688,3713.05,3520.91,1292227,TCS,INR,0.006273882761050453,0.00625428388989846
11-01-2024,3724,3773,3707,3735.55,3542.25,1777909,TCS,INR,0.006059708326039193,0.006041422129037244
12-01-2024,3848,3905.25,3821.6,3882.8,3681.88,6813450,TCS,INR,0.039418559516001705,0.03866147942278353
15-01-2024,3960,3965,3885,3903.8,3701.79,2801505,TCS,INR,0.005408468115792653,0.005393894874439198
16-01-2024,3899,3899,3855.55,3861.3,3661.49,1432672,TCS,INR,-0.010886828,-0.010946523
17-01-2024,3819,3909.95,3812.55,3884.6,3683.58,3458696,TCS,INR,0.00603423717400875,0.006016104074589634
18-01-2024,3898,3908.8,3862,3902.6,3700.65,2239110,TCS,INR,0.004633681717551408,0.004622979262865812
19-01-2024,27 Dividend,,,,,,TCS,INR,,
19-01-2024,3945,3963.55,3915.05,3943.05,3765.06,2941975,TCS,INR,,
23-01-2024,3900,3933.9,3842.75,3858.25,3684.08,2618854,TCS,INR,-0.021506194,-0.021740823
24-01-2024,3880,3883.65,3805.6,3841.8,3668.38,2657709,TCS,INR,-0.004263591,-0.004272706
25-01-2024,3839.9,3861,3778.7,3810.3,3638.3,2205154,TCS,INR,-0.008199282,-0.008233081
29-01-2024,3800.8,3820,3780.85,3801,3629.42,1646747,TCS,INR,-0.002440753,-0.002443736
30-01-2024,3807.45,3847.8,3787,3800.55,3628.99,1411621,TCS,INR,-0.00011839,-0.000118397
31-01-2024,3811.2,3834,3796.45,3815.95,3643.69,2459358,TCS,INR,0.004052045098735579,0.0040438576737535925
01-02-2024,3820,3904.9,3805.05,3854.15,3680.17,2363107,TCS,INR,0.010010613346610908,0.009960839061927018
02-02-2024,3875.05,3984.4,3872,3966.3,3787.26,2826510,TCS,INR,0.029098504209748022,0.02868318036526496
05-02-2024,3983,4022,3962.1,3973.3,3793.94,1691523,TCS,INR,0.001764869021506188,0.0017633134701338093
06-02-2024,3997,4149.9,3990,4136,3949.3,4474396,TCS,INR,0.040948330103440345,0.04013215353396937
07-02-2024,4153,4155,4073.95,4083.4,3899.07,2124267,TCS,INR,-0.012717602,-0.012799162
08-02-2024,4090,4158,4086.05,4134.1,3947.48,2345173,TCS,INR,0.012416123818386637,0.012339675893882074
09-02-2024,4136.55,4184.75,4100,4133.7,3947.1,2100596,TCS,INR,-9.68E-05,-9.68E-05
12-02-2024,4130,4159.6,4105.55,4120.7,3934.69,1013716,TCS,INR,-0.003144882,-0.003149838
13-02-2024,4125.45,4170,4081.5,4149.5,3962.19,1257415,TCS,INR,0.0069891037930449595,0.006964793214173426
14-02-2024,4107,4114.9,4049.5,4100.1,3915.02,1391283,TCS,INR,-0.011905049,-0.011976481
15-02-2024,4128,4146.3,4083,4103.2,3917.98,1091582,TCS,INR,0.0007560791200214023,0.0007557934361930307
16-02-2024,4113.25,4147.95,4100.1,4128.3,3941.94,1307556,TCS,INR,0.006117176837590277,0.006098542864288348
19-02-2024,4123.05,4128.3,4055,4103.8,3918.55,772291,TCS,INR,-0.005934646,-0.005952326
20-02-2024,4082.1,4098,4010,4030.65,3848.7,1193648,TCS,INR,-0.017824943,-0.01798572
21-02-2024,4013,4063.35,3980.6,3991.5,3811.32,1885939,TCS,INR,-0.009713074,-0.009760553
22-02-2024,3971,4094.95,3971,4087.1,3902.6,2982052,TCS,INR,0.02395089565326325,0.023668572003900934
23-02-2024,4130,4130,4046.4,4052.1,3869.18,2538072,TCS,INR,-0.008563529,-0.008600407
26-02-2024,4036,4050,3982.75,4001.05,3820.44,1379284,TCS,INR,-0.012598406,-0.012678439
27-02-2024,3999,4124,3999,4104.4,3919.12,2960475,TCS,INR,0.025830719436147787,0.025502742333124218
28-02-2024,4095.6,4154.9,4089,4118.95,3933.02,1939225,TCS,INR,0.0035449761231849397,0.0035387075056920736
29-02-2024,4099,4138.1,4064.55,4095.1,3910.24,3772719,TCS,INR,-0.005790311,-0.005807139
01-03-2024,4107.2,4140,4086.8,4094.35,3909.53,2043265,TCS,INR,-0.000183146,-0.000183162
04-03-2024,4105,4117.9,4075.9,4080.7,3896.49,1749271,TCS,INR,-0.003333863,-0.003339432
05-03-2024,4062,4064,3980,4012.1,3830.99,2070859,TCS,INR,-0.016810841,-0.016953747
06-03-2024,3994.05,4072,3958.45,4064.3,3880.83,1744204,TCS,INR,0.01301064280551345,0.012926731435950245
07-03-2024,4065,4124,4037.7,4108.6,3923.13,2688905,TCS,INR,0.010899785940998497,0.01084081142693627
11-03-2024,4089,4153,4089,4122.35,3936.26,2304068,TCS,INR,0.0033466387577276713,0.0033410512250728885
12-03-2024,4122.35,4229.95,4121.05,4192.25,4003.01,4039801,TCS,INR,0.01695634771428911,0.01681419354373581
13-03-2024,4205,4241,4131.9,4149,3961.71,2837260,TCS,INR,-0.010316656,-0.010370241
14-03-2024,4153.45,4225,4086,4207.6,4017.67,2919608,TCS,INR,0.0141238852735599,0.014025072532250604
15-03-2024,4192.6,4239,4177,4219.25,4028.79,3373143,TCS,INR,0.0027687993155240953,0.002764973251474956
18-03-2024,4215.25,4254.75,4117.85,4152.5,3965.05,1526904,TCS,INR,-0.015820347,-0.015946825
19-03-2024,4051.25,4058,3966.6,3977.3,3797.76,8931209,TCS,INR,-0.042191451,-0.043107365
20-03-2024,3986,4018,3960.2,3970.9,3791.65,1817913,TCS,INR,-0.001609132,-0.001610428
21-03-2024,3990.05,4008.4,3948,3972.95,3793.61,3829582,TCS,INR,0.0005162557606588347,0.0005161225465002417
22-03-2024,3897,3938,3855,3910.9,3734.36,5852485,TCS,INR,-0.015618118,-0.015741365
26-03-2024,3875,3946.7,3871.45,3877.5,3702.47,3440925,TCS,INR,-0.008540234,-0.00857691
27-03-2024,3888.5,3895,3829.4,3840.9,3667.52,1968575,TCS,INR,-0.009439072,-0.009483902
28-03-2024,3850.1,3915,3840.5,3876.3,3701.32,4311783,TCS,INR,0.009216589861751112,0.00917437627604123
01-04-2024,3897.7,3933.3,3888.05,3916.75,3739.94,1569676,TCS,INR,0.010435208833165621,0.010381137877311986
02-04-2024,3890,3909.85,3873,3883.8,3708.48,2142666,TCS,INR,-0.008412587,-0.008448172
03-04-2024,3851,3981,3851,3947.3,3769.12,3973090,TCS,INR,0.016349966527627657,0.016217745088930258
04-04-2024,3975.9,4028.65,3935.25,4003.3,3822.59,3394637,TCS,INR,0.0141869125731513,0.014087220108134346
05-04-2024,3978,4002,3960.5,3979.25,3799.62,1636819,TCS,INR,-0.006007544,-0.006025662
08-04-2024,3983,4032.65,3960,3972.55,3793.23,2302538,TCS,INR,-0.001683734,-0.001685153
